Country,Survey Year,DHS Phase,Women's Marital Status,Women's Age Range,Men's Marital Status,Men's Age Range
Afghanistan,2015,7,Ever Married,15 to 49,Ever Married,15 to 49
Albania,2008-09,5,All,15 to 49,All,15 to 49
Angola,2015-16,7,All,15 to 49,All,15 to 54
Armenia,2010,6,All,15 to 49,All,15 to 49
Armenia,2005,5,All,15 to 49,All,15 to 49
Armenia,2000,4,All,15 to 49,All,15 to 54
Azerbaijan,2006,5,All,15 to 49,All,15 to 59
Bangladesh,2014,7,Ever Married,15 to 49,NA,NA
Bangladesh,2011,6,Ever Married,12 to 49,Ever Married,15 to 54
Bangladesh,2007,5,Ever Married,15 to 49,Ever Married,15 to 54
Bangladesh,2004,4,Ever Married,10 to 49,Ever Married,15 to 54
Bangladesh,1999-2000,4,Ever Married,10 to 49,Currently Married,15 to 59
Bangladesh,1996-97,3,Ever Married,10 to 49,Currently Married,15 to 59
Bangladesh,1993-94,3,Ever Married,10 to 49,Married to Female Resp.,All
Benin,2011-12,6,All,15 to 49,All,15 to 64
Benin,2006,5,All,15 to 49,All,15 to 64
Benin,2001,4,All,15 to 49,All,15 to 64
Benin,1996,3,All,15 to 49,All,20 to 64
Bolivia,2008,5,All,15 to 49,All,15 to 64
Bolivia,2003,4,All,15 to 49,All,15 to 64
Bolivia,1998,3,All,15 to 49,All,15 to 64
Bolivia,1994,3,All,15 to 49,NA,NA
Bolivia,1989,1,All,15 to 49,NA,NA
Botswana,1988,1,All,15 to 49,NA,NA
Brazil,1996,3,All,15 to 49,All,15 to 59
Brazil,1991,2,All,15 to 49,Married to Female Resp.,All
Brazil,1986,1,All,15 to 44,NA,NA
Burkina Faso,2010,6,All,15 to 49,All,15 to 59
Burkina Faso,2003,4,All,15 to 49,All,15 to 59
Burkina Faso,1998-99,3,All,15 to 49,All,15 to 59
Burkina Faso,1993,2,All,15 to 49,All,18+
Burundi,2010,6,All,15 to 49,All,15 to 59
Burundi,1987,1,All,15 to 49,Married to Female Resp.,All
Cambodia,2014,7,All,15 to 49,All,15 to 49
Cambodia,2010,6,All,15 to 49,All,15 to 49
Cambodia,2005,5,All,15 to 49,All,15 to 49
Cambodia,2000,4,All,15 to 49,NA,NA
Cameroon,2011,6,All,15 to 49,All,15 to 59
Cameroon,2004,4,All,15 to 49,All,15 to 59
Cameroon,1998,3,All,15 to 49,All,15 to 59
Cameroon,1991,2,All,15 to 49,NA,NA
Cape Verde,2005,4,All,15 to 49,All,15 to 59
Central African Republic,1994-95,3,All,15 to 49,All,15 to 59
Chad,2014-15,7,All,15 to 49,All,15 to 59
Chad,2004,4,All,15 to 49,All,15 to 59
Chad,1996-97,3,All,15 to 49,All,15 to 59
Colombia,2015,7,All,13 to 49,All,13 to 59
Colombia,2010,6,All,13 to 49,NA,NA
Colombia,2005,5,All,13 to 49,NA,NA
Colombia,2000,4,All,15 to 49,NA,NA
Colombia,1995,3,All,15 to 49,NA,NA
Colombia,1990,2,All,15 to 49,NA,NA
Colombia,1986,1,All,15 to 49,NA,NA
Comoros,2012,6,All,15 to 49,All,15 to 59
Comoros,1996,3,All,15 to 49,All,15 to 64
Congo,2011-12,6,All,15 to 49,All,15 to 59
Congo,2005,5,All,15 to 49,All,15 to 59
Congo Dem. Republic,2013-14,6,All,15 to 49,All,15 to 59
Congo Dem. Republic,2007,5,All,15 to 49,All,15 to 59
Cote d'Ivoire,2011-12,6,All,15 to 49,All,15 to 59
Cote d'Ivoire,1998-99,3,All,15 to 49,All,15 to 59
Cote d'Ivoire,1994,3,All,15 to 49,All,15 to 59
Dominican Republic,2013,6,All,15 to 49,All,15 to 59
Dominican Republic,2007,5,All,15 to 49,All,15 to 59
Dominican Republic,2002,4,All,15 to 49,All,15 to 59
Dominican Republic,1999,4,All,15 to 49,All,15 to 64
Dominican Republic,1996,3,All,15 to 49,All,15 to 64
Dominican Republic,1991,2,All,15 to 49,NA,NA
Dominican Republic,1986,1,All,15 to 49,NA,NA
Ecuador,1987,1,All,15 to 49,NA,NA
Egypt,2014,6,Ever Married,15 to 49,NA,NA
Egypt,2008,5,Ever Married,15 to 49,NA,NA
Egypt,2005,5,Ever Married,15 to 49,NA,NA
Egypt,2000,4,Ever Married,15 to 49,NA,NA
Egypt,1995,3,Ever Married,15 to 49,NA,NA
Egypt,1992,2,Ever Married,15 to 49,Married to Female Resp.,All
Egypt,1988,1,Ever Married,15 to 49,NA,NA
El Salvador,1985,1,All,15 to 49,NA,NA
Equatorial Guinea,2011,6,All,15 to 49,All,15 to 59
Eritrea,2002,4,All,15 to 49,NA,NA
Eritrea,1995,3,All,15 to 49,All,15 to 59
Ethiopia,2011,6,All,15 to 49,All,15 to 59
Ethiopia,2005,5,All,15 to 49,All,15 to 59
Ethiopia,2000,4,All,15 to 49,All,15 to 59
Gabon,2012,6,All,15 to 49,All,15 to 59
Gabon,2000,4,All,15 to 49,All,15 to 59
Gambia,2013,6,All,15 to 49,All,15 to 59
Ghana,2014,7,All,15 to 49,All,15 to 59
Ghana,2008,5,All,15 to 49,All,15 to 59
Ghana,2003,4,All,15 to 49,All,15 to 59
Ghana,1998,4,All,15 to 49,All,15 to 59
Ghana,1993,3,All,15 to 49,All,15 to 59
Ghana,1988,1,All,15 to 49,Married to Female Resp.,All
Guatemala,2014-15,7,All,15 to 49,All,15 to 59
Guatemala,1995,3,All,15 to 49,NA,NA
Guatemala,1987,1,All,15 to 44,NA,NA
Guinea,2012,6,All,15 to 49,All,15 to 59
Guinea,2005,5,All,15 to 49,All,15 to 59
